Facility ID,Facility Name,Address,City,State,ZIP Code,Location
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,POINT (-88.296081 32.491825)
214003,BROOK LANE HEALTH SERVICES,13215  BROOK LANE DRIVE,HAGERSTOWN,MD,21742,POINT (-77.609245 39.677869)
310010,UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,ONE-FIVE PLAINSBORO ROAD,PLAINSBORO,NJ,8536,
140145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,BREESE,IL,62230,POINT (-89.524944 38.625154)
161333,STORY COUNTY HOSPITAL,640 SOUTH 19TH STREET,NEVADA,IA,50201,POINT (-93.434902 42.005334)
104076,UNIVERSITY BEHAVIORAL CENTER,2500 DISCOVERY DRIVE,ORLANDO,FL,32826,POINT (-81.191544 28.581858)
271323,CLARK FORK VALLEY HOSPITAL,10 KRUGER RD,PLAINS,MT,59859,POINT (-114.891908 47.469539)
251307,NOXUBEE GENERAL CRITICAL ACCESS HOSP,78 HOSPITAL ROAD,MACON,MS,39341,
381318,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,810 12TH STREET,HOOD RIVER,OR,97031,POINT (-121.523224 45.704561)
420103,PELHAM MEDICAL CENTER,250 WESTMORELAND ROAD,GREER,SC,29651,POINT (-82.217661 34.86351)
154053,MERIDIAN SERVICES CORP,2401 W UNIVERSITY AVE,MUNCIE,IN,47303,POINT (-85.414363 40.197622)
150097,MAJOR HOSPITAL,2451 INTELLIPLEX DR,SHELBYVILLE,IN,46176,POINT (-85.78397 39.560017)
424005,G WERBER BRYAN PSYCH HOSP,220 FAISON DR,COLUMBIA,SC,29203,POINT (-80.980762 34.084139)
240075,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,523 NORTH 3RD STREET,BRAINERD,MN,56401,POINT (-94.205143 46.362509)
74014,SILVER HILL HOSPITAL INC,208 VALLEY ROAD,NEW CANAAN,CT,6840,POINT (-73.468247 41.16524)
450711,RIO GRANDE REGIONAL HOSPITAL,101 E RIDGE RD,MCALLEN,TX,78503,POINT (-98.224124 26.185939)
450187,BAYLOR SCOTT & WHITE MEDICAL CENTER - BRENHAM,700 MEDICAL PARKWAY,BRENHAM,TX,77833,POINT (-96.398937 30.145082)
390146,WARREN GENERAL HOSPITAL,TWO CRESCENT PARK WEST,WARREN,PA,16365,
18003F,Blanchfield ACH (FT Campbell),650 Joel Drive,Fort Campbell,KY,42223,POINT (-87.448787 36.637336)
140179,LITTLE COMPANY OF MARY HOSPITAL,2800 W 95TH ST,EVERGREEN PARK,IL,60805,POINT (-87.691966 41.720902)
170012,SALINA REGIONAL HEALTH CENTER,400 SOUTH SANTA FE AVENUE,SALINA,KS,67401,POINT (-97.610525 38.833271)
194089,GENESIS BEHAVIORAL HOSPITAL,606 LATIOLAIS ROAD,BREAUX BRIDGE,LA,70517,
390111,HOSPITAL OF UNIV OF PENNSYLVANIA,34TH & SPRUCE STS,PHILADELPHIA,PA,19104,
141328,HARDIN COUNTY GENERAL HOSPITAL & CLINIC,FERRELL ROAD,ROSICLARE,IL,62982,
51333,RIDGECREST REGIONAL HOSPITAL,1081 NORTH CHINA LAKE BLVD,RIDGECREST,CA,93555,POINT (-117.669852 35.640802)
384012,CEDAR HILLS HOSPITAL,10300 SW EASTRIDGE STREET,PORTLAND,OR,97225,POINT (-122.783797 45.506265)
520059,AURORA MEMORIAL HOSPITAL BURLINGTON,252 MCHENRY ST,BURLINGTON,WI,53105,POINT (-88.282648 42.673515)
250128,PANOLA MEDICAL CENTER,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,POINT (-89.916488 34.306319)
400079,HOSP COMUNITARIO BUEN SAMARITANO,CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18,AGUADILLA,PR,603,
104049,SOUTHERN WINDS,4225 W 20TH AVE,HIALEAH,FL,33012,POINT (-80.322333 25.860114)
150024,ESKENAZI HEALTH,720 ESKENAZI AVENUE,INDIANAPOLIS,IN,46202,POINT (-86.17345 39.78053)
50126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,POINT (-118.463271 34.193917)
511322,SUMMERSVILLE REGIONAL MEDICAL CENTER,400 FAIRVIEW HEIGHTS ROAD,SUMMERSVILLE,WV,26651,POINT (-80.831136 38.291903)
261312,HARRISON COUNTY COMMUNITY HOSPITAL,2600 MILLER STREET,BETHANY,MO,64424,POINT (-94.026145 40.265292)
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,POINT (-88.014996 42.003705)
471303,NORTHEASTERN VERMONT REGIONAL HOSPITAL,1315 HOSPITAL DRIVE,SAINT JOHNSBURY,VT,5819,POINT (-72.009516 44.445262)
30043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,POINT (-110.230726 31.554635)
281316,WEBSTER COUNTY COMMUNITY HOSPITAL,"P O BOX 465, 621 N FRANKLIN ST",RED CLOUD,NE,68970,
171357,HILLSBORO COMMUNITY HOSPITAL,101 INDUSTRIAL ROAD,HILLSBORO,KS,67063,POINT (-97.187589 38.361495)
120002,MAUI MEMORIAL MEDICAL CENTER,221 MAHALANI STREET,WAILUKU,HI,96793,POINT (-156.488087 20.884455)
111331,MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,CAMILLA,GA,31730,POINT (-84.205091 31.229277)
230036,MIDMICHIGAN MEDICAL CENTER - ALPENA,1501 W CHISHOLM ST,ALPENA,MI,49707,POINT (-83.450672 45.076857)
230066,MERCY HEALTH HACKLEY CAMPUS,1700 CLINTON STREET,MUSKEGON,MI,49442,POINT (-86.243075 43.221939)
450774,TOPS SURGICAL SPECIALTY HOSPITAL,17080 RED OAK DRIVE,HOUSTON,TX,77090,POINT (-95.444846 30.018542)
310060,ST LUKE'S WARREN HOSPITAL,185 ROSEBERRY ST,PHILLIPSBURG,NJ,8865,POINT (-75.179608 40.701628)
400106,METROPOLITAN HOSPITAL,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN,PR,915,
450194,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,501 S RAGSDALE,JACKSONVILLE,TX,75766,POINT (-95.270547 31.961418)
340021,ATRIUM HEALTH CLEVELAND,201 E GROVER ST,SHELBY,NC,28150,POINT (-81.535343 35.301837)
61328,PAGOSA SPRINGS MEDICAL CENTER,95 SOUTH PAGOSA BOULEVARD,PAGOSA SPRINGS,CO,81147,POINT (-107.077219 37.252776)
390258,ST MARY MEDICAL CENTER,LANGHORNE-NEWTOWN RD,LANGHORNE,PA,19047,
450237,CHRISTUS SANTA ROSA MEDICAL CENTER,2827 BABCOCK ROAD,SAN ANTONIO,TX,78229,POINT (-98.591557 29.512909)
230165,ASCENSION ST JOHN HOSPITAL,22101 MOROSS RD,DETROIT,MI,48236,POINT (-82.915008 42.419011)
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,POINT (-149.827379 61.20979)
230142,BEAUMONT HOSPITAL - WAYNE,33155 ANNAPOLIS AVE,WAYNE,MI,48184,POINT (-83.365625 42.274275)
301309,MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,NH,3458,POINT (-71.937471 42.893461)
194113,LAKE PINES HOSPITAL,3639 LOYOLA AVENUE,KENNER,LA,70065,POINT (-90.269388 30.025363)
464014,PROVO CANYON BEHAVIORAL HOSPITAL,1350 EAST 750 NORTH,OREM,UT,84097,POINT (-111.663668 40.311262)
201303,PENOBSCOT VALLEY HOSPITAL,"7 TRANSALPINE ROAD, PO BOX 368",LINCOLN,ME,4457,POINT (-68.516258 45.348733)
150004,FRANCISCAN ST. MARGARET HEALTH HAMMOND,5454 HOHMAN AVE,HAMMOND,IN,46320,POINT (-87.52201 41.61449)
490120,CHESAPEAKE REGIONAL MEDICAL CENTER,"736 BATTLEFIELD BLVD, NORTH",CHESAPEAKE,VA,23320,POINT (-76.244828 36.746111)
190270,SOUTHERN SURGICAL HOSPITAL,1700 W LINDBERG DRIVE,SLIDELL,LA,70458,POINT (-89.754498 30.273779)
520103,COMMUNITY MEMORIAL HOSPITAL,W180 N8085 TOWN HALL RD,MENOMONEE FALLS,WI,53051,
161301,IOWA SPECIALTY HOSPITAL - BELMOND,403 FIRST STREET SE,BELMOND,IA,50421,POINT (-93.612855 42.844988)
264010,ST LOUIS PSYCHIATRIC REHAB CENTER,5400 ARSENAL ST,SAINT LOUIS,MO,63139,POINT (-90.279326 38.606032)
193301,SHRINERS HOSPITALS FOR CHILDREN,3100 SAMFORD AVENUE,SHREVEPORT,LA,71103,POINT (-93.756637 32.481295)
650003,GUAM REGIONAL MEDICAL CITY,133 ROUTE 3,DEDEDO,GU,96929,
431338,AVERA GREGORY HOSPITAL,400 PARK STREET  POST OFFICE BOX 408,GREGORY,SD,57533,
363304,CLEVELAND CLINIC CHILDREN'S HOSPITAL FOR REHAB,"2801 MARTIN LUTHER KING, JR DRIVE",CLEVELAND,OH,44104,POINT (-81.609252 41.482776)
394038,FOUNDATIONS BEHAVIORAL HEALTH,833 EAST BUTLER AVE,DOYLESTOWN,PA,18901,POINT (-75.154952 40.300471)
340143,CATAWBA VALLEY MEDICAL CENTER,810 FAIRGROVE CHURCH RD,HICKORY,NC,28602,POINT (-81.264779 35.711195)
190099,AVOYELLES HOSPITAL,4231 HIGHWAY 1192,MARKSVILLE,LA,71351,POINT (-92.064433 31.143127)
223303,SHRINERS' HOSPITAL FOR CHILDREN (THE),516 CAREW STREET,SPRINGFIELD,MA,1104,POINT (-72.591568 42.120558)
390081,DELAWARE COUNTY MEMORIAL HOSPITAL,501 NORTH LANSDOWNE AVE,DREXEL HILL,PA,19026,POINT (-75.283921 39.953877)
420067,BEAUFORT COUNTY MEMORIAL HOSPITAL,955 RIBAUT RD,BEAUFORT,SC,29902,POINT (-80.688546 32.417244)
50426,WEST ANAHEIM MEDICAL CENTER,3033 W ORANGE AVENUE,ANAHEIM,CA,92804,POINT (-117.995115 33.824735)
490110,LEWISGALE HOSPITAL MONTGOMERY,3700 SOUTH MAIN STREET,BLACKSBURG,VA,24060,POINT (-80.408612 37.185621)
371329,FAIRVIEW REGIONAL MEDICAL CENTER AUTHORITY,523 EAST STATE ROAD,FAIRVIEW,OK,73737,POINT (-98.474399 36.275208)
151326,UNION HOSPITAL CLINTON,801 S MAIN ST,CLINTON,IN,47842,POINT (-87.398213 39.652926)
110122,SOUTH GEORGIA MEDICAL CENTER,"2501 NORTH PATTERSON STREET, PO BOX 1727",VALDOSTA,GA,31602,POINT (-83.288863 30.86175)
50099,SAN ANTONIO REGIONAL HOSPITAL,999 SAN BERNARDINO ROAD,UPLAND,CA,91786,POINT (-117.636862 34.101079)
364011,NORTHCOAST BEHAVIORAL HEALTHCARE NORTHFIELD CAMPUS,1756 SAGAMORE ROAD,NORTHFIELD,OH,44067,POINT (-81.573483 41.350974)
454060,LAUREL RIDGE TREATMENT CENTER,17720 CORPORATE WOODS DRIVE,SAN ANTONIO,TX,78259,POINT (-98.439387 29.603377)
390324,PHYSICIANS CARE SURGICAL HOSPITAL,454 ENTERPRISE DRIVE,ROYERSFORD,PA,19468,POINT (-75.553707 40.216786)
170049,OLATHE MEDICAL CENTER,20333 WEST 151ST STREET,OLATHE,KS,66061,POINT (-94.823673 38.854524)
341323,CHARLES A CANNON JR MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646,POINT (-81.885678 36.06748)
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,NIAGARA FALLS,NY,14302,POINT (-79.050429 43.093433)
234011,HENRY FORD KINGSWOOD HOSPITAL,10300 W EIGHT MILE ROAD,FERNDALE,MI,48220,POINT (-83.164677 42.445857)
281303,NIOBRARA VALLEY HOSPITAL,"P O BOX 118, 401 SOUTH 5TH STREET",LYNCH,NE,68746,
424007,SPRINGBROOK BEHAVIORAL HEALTH SYSTEM,ONE HAVENWOOD LANE  PO BOX 1005,TRAVELERS REST,SC,29690,
131310,ST LUKE'S JEROME,709 NORTH LINCOLN AVENUE,JEROME,ID,83338,POINT (-114.51849 42.730293)
100028,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,TITUSVILLE,FL,32796,POINT (-80.824943 28.629068)
670124,THE HOSPITALS OF PROVIDENCE HORIZON CITY CAMPUS,"13600 HORIZON STREET, SUITE 100",HORIZON CITY,TX,79928,POINT (-106.207348 31.682723)
420091,MUSC HEALTH FLORENCE MEDICAL CENTER,805 PAMPLICO HWY BOX 100550,FLORENCE,SC,29505,POINT (-79.754236 34.158829)
100134,ED FRASER MEMORIAL HOSPITAL,159 N 3RD ST,MACCLENNY,FL,32063,POINT (-82.11955 30.28555)
281350,JOHNSON COUNTY HOSPITAL,202 HIGH ST,TECUMSEH,NE,68450,POINT (-96.197342 40.379192)
440046,TRISTAR HORIZON MEDICAL CENTER,111 HIGHWAY 70 EAST,DICKSON,TN,37055,POINT (-87.374808 36.07212)
351316,PRESENTATION MEDICAL CENTER,213 SECOND AVE NE,ROLLA,ND,58367,POINT (-99.615515 48.861562)
370013,"MERCY HOSPITAL OKLAHOMA CITY, INC",4300 WEST MEMORIAL ROAD,OKLAHOMA CITY,OK,73120,POINT (-97.599625 35.609026)
50071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,POINT (-121.995767 37.335456)
51332,MARK TWAIN MEDICAL CENTER,768 MOUNTAIN RANCH RD,SAN ANDREAS,CA,95249,POINT (-120.670661 38.190973)
390183,ST LUKE'S MINERS MEMORIAL HOSPITAL,360 W RUDDLE STREET,COALDALE,PA,18218,POINT (-75.914152 40.821619)
104071,THE VINES HOSPITAL,3130 SW 27TH AVE,OCALA,FL,34474,POINT (-82.168972 29.155476)
40088,MEDICAL CENTER OF SOUTH ARKANSAS,700 WEST GROVE STREET,EL DORADO,AR,71730,POINT (-92.67103 33.218378)
240115,MERCY HOSPITAL,4050 COON RAPIDS BLVD,COON RAPIDS,MN,55433,POINT (-93.368221 45.183842)
340141,NEW HANOVER REGIONAL MEDICAL CENTER,2131 S 17TH ST BOX 9000,WILMINGTON,NC,28402,POINT (-77.924182 34.206183)
180087,TAYLOR REGIONAL HOSPITAL,1700 OLD LEBANON ROAD,CAMPBELLSVILLE,KY,42718,POINT (-85.339179 37.366216)
100107,LEHIGH REGIONAL MEDICAL CENTER,1500 LEE BLVD,LEHIGH ACRES,FL,33936,POINT (-81.658427 26.614318)
171375,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS,"400 W 8TH STREET, P O BOX 399",BELOIT,KS,67420,POINT (-98.114235 39.466499)
360156,MEMORIAL HOSPITAL,715 SOUTH TAFT AVENUE,FREMONT,OH,43420,POINT (-83.135219 41.339982)
490017,BON SECOURS MARYVIEW MEDICAL CENTER,3636 HIGH STREET,PORTSMOUTH,VA,23707,POINT (-76.348365 36.836211)
140125,GATEWAY REGIONAL MEDICAL CENTER,2100 MADISON AVENUE,GRANITE CITY,IL,62040,POINT (-90.144958 38.700891)
381308,WEST VALLEY HOSPITAL,525 SE WASHINGTON STREET,DALLAS,OR,97338,POINT (-123.310383 44.919404)
380018,ASANTE ROGUE REGIONAL MEDICAL CENTER,2825 E BARNETT ROAD,MEDFORD,OR,97504,POINT (-122.830443 42.316483)
270004,BILLINGS CLINIC,2800 10TH AVE N,BILLINGS,MT,59101,POINT (-108.51415 45.790452)
250081,ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS,1102 CONSTITUTION AVENUE,MERIDIAN,MS,39301,POINT (-88.699315 32.36779)
50568,MADERA COMMUNITY HOSPITAL,1250 E ALMOND AVE,MADERA,CA,93637,POINT (-120.045467 36.945427)
171385,COFFEY COUNTY HOSPITAL,801 N FOURTH STREET,BURLINGTON,KS,66839,POINT (-95.738569 38.201677)
241330,CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL,525 WEST MAIN STREET,MELROSE,MN,56352,POINT (-94.823435 45.674916)
240006,OLMSTED MEDICAL CENTER,1650 FOURTH STREET SOUTHEAST,ROCHESTER,MN,55904,POINT (-92.439958 44.020994)
241309,ESSENTIA HEALTH SANDSTONE,705 LUNDORFF DRIVE SOUTH,SANDSTONE,MN,55072,POINT (-92.882967 46.118408)
390160,CANONSBURG GENERAL HOSPITAL,100 MEDICAL BOULEVARD,CANONSBURG,PA,15317,POINT (-80.190434 40.248477)
110075,EAST GEORGIA REGIONAL MEDICAL CENTER,1499 FAIR ROAD,STATESBORO,GA,30458,POINT (-81.76865 32.415171)
100254,CAPITAL REGIONAL MEDICAL CENTER,2626 CAPITAL MEDICAL BLVD,TALLAHASSEE,FL,32308,POINT (-84.230728 30.475376)
190046,TOURO INFIRMARY,1401 FOUCHER STREET,NEW ORLEANS,LA,70115,POINT (-90.092915 29.925391)
50396,SANTA BARBARA COTTAGE HOSPITAL,400 WEST PUEBLO,SANTA BARBARA,CA,93102,POINT (-119.723077 34.429483)
244017,COMMUNITY BEHAVIORAL HEALTH HOSPITAL ROCHESTER,251 WOOD LAKE DRIVE SOUTHEAST,ROCHESTER,MN,55904,POINT (-92.456949 43.973447)
521350,LANGLADE HOSPITAL,112 E FIFTH AVE,ANTIGO,WI,54409,POINT (-89.140292 45.140319)
344028,STRATEGIC BEHAVORIAL CENTER-GARNER,3200 WATERFIELD DRIVE,GARNER,NC,27529,POINT (-78.560684 35.680334)
390307,EDGEWOOD SURGICAL HOSPITAL,239 EDGEWOOD DRIVE EXTENSION,TRANSFER,PA,16154,POINT (-80.417855 41.330051)
40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR,72801,POINT (-93.149908 35.28286)
241376,GLACIAL RIDGE HOSPITAL,10 4TH AVENUE SOUTHEAST,GLENWOOD,MN,56334,POINT (-95.38987 45.646757)
100213,BLAKE MEDICAL CENTER,2020 59TH ST W,BRADENTON,FL,34209,POINT (-82.620468 27.482176)
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,POINT (-85.361725 31.214058)
390076,BRANDYWINE HOSPITAL,201 REECEVILLE ROAD,COATESVILLE,PA,19320,POINT (-75.790263 40.009586)
114012,RIDGEVIEW INSTITUTE,"3995 S COBB DRIVE, SE",SMYRNA,GA,30080,POINT (-84.511891 33.853995)
230121,MEMORIAL HEALTHCARE,826 WEST KING STREET,OWOSSO,MI,48867,POINT (-84.182076 43.005075)
451371,ASCENSION SETON EDGAR B DAVIS,130 HAYS STREET,LULING,TX,78648,POINT (-97.654254 29.67253)
70004,SHARON HOSPITAL,50 HOSPITAL HILL ROAD,SHARON,CT,6069,POINT (-73.481572 41.879662)
360123,UH ST JOHN MEDICAL CENTER,29000 CENTER RIDGE ROAD,WESTLAKE,OH,44145,POINT (-81.940704 41.435854)
50714,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,2900 CHANTICLEER AVENUE,SANTA CRUZ,CA,95065,POINT (-121.97818 36.987865)
501339,WHIDBEYHEALTH MEDICAL CENTER,101 NORTH MAIN STREET,COUPEVILLE,WA,98239,POINT (-122.686122 48.21424)
454050,GLEN OAKS HOSPITAL,301 E DIVISION BOX 1885,GREENVILLE,TX,75401,
54131,JOHN MUIR BEHAVIORAL HEALTH CENTER,2740 GRANT STREET,CONCORD,CA,94524,POINT (-122.038347 37.985331)
334026,BRUNSWICK PSYCH CENTER,366 BROADWAY,AMITYVILLE,NY,11701,POINT (-73.418446 40.684765)
490059,BON SECOURS ST MARYS HOSPITAL,5801 BREMO RD,RICHMOND,VA,23226,POINT (-77.513262 37.584405)
171352,DECATUR COUNTY HOSPITAL,810 W  COLUMBIA STREET,OBERLIN,KS,67749,POINT (-100.53925 39.816212)
140084,VISTA MEDICAL CENTER EAST,1324 NORTH SHERIDAN ROAD,WAUKEGAN,IL,60085,POINT (-87.830964 42.378264)
184014,CUMBERLAND HALL,270 WALTON WAY,HOPKINSVILLE,KY,42240,POINT (-87.469309 36.738035)
184004,EASTERN STATE HOSPITAL,1350 BULL LEA ROAD,LEXINGTON,KY,40511,POINT (-84.497495 38.084993)
501302,DAYTON GENERAL HOSPITAL,1012 SOUTH 3RD STREET,DAYTON,WA,99328,POINT (-117.968872 46.312564)
520096,WHEATON FRANCISCAN HEALTHCARE ALL SAINTS,3801 SPRING ST,RACINE,WI,53405,POINT (-87.825173 42.733346)
14000,HILL CREST BEHAVIORAL HEALTH SERVICES,6869 FIFTH AVENUE SOUTH,BIRMINGHAM,AL,35212,POINT (-86.730597 33.549279)
151315,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,416 E MAUMEE ST,ANGOLA,IN,46703,POINT (-84.99552 41.634883)
230002,ST MARY MERCY HOSPITAL,36475 FIVE MILE ROAD,LIVONIA,MI,48154,POINT (-83.404577 42.39657)
151320,"INDIANA UNIVERSITY HEALTH JAY, INC.",500 W VOTAW ST,PORTLAND,IN,47371,POINT (-84.984105 40.439366)
490115,TWIN COUNTY REGIONAL HOSPITAL,200 HOSPITAL DRIVE,GALAX,VA,24333,POINT (-80.923814 36.671813)
110130,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,POINT (-83.250331 31.602797)
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,POINT (-73.924072 40.817681)
161354,HORN MEMORIAL HOSPITAL,701 E 2ND ST,IDA GROVE,IA,51445,POINT (-95.45891 42.339303)
50441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,CA,94305,POINT (-122.176664 37.433138)
420057,MCLEOD MEDICAL CENTER - DARLINGTON,701 CASHUA FERRY ROAD,DARLINGTON,SC,29540,POINT (-79.838253 34.312988)
50104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,POINT (-118.203834 33.931016)
400123,HOSPITAL PEREA,15 DR BASORA STREET,MAYAGUEZ,PR,681,
220119,FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S,1153 CENTRE STREET,BOSTON,MA,2130,POINT (-71.127203 42.300886)
230269,"BEAUMONT HOSPITAL, TROY",44201 DEQUINDRE ROAD,TROY,MI,48085,
174021,"FREEDOM BEHAVIORAL HOSPITAL OF TOPEKA, LLC",1334 SW BUCHANAN STREET,TOPEKA,KS,66604,POINT (-95.693113 39.041332)
364048,HAVEN BEHAVIORAL HOSPITAL OF DAYTON,"ONE ELIZABETH PLACE, E3 SUITE A",DAYTON,OH,45417,
120026,PALI MOMI MEDICAL CENTER,98-1079 MOANALUA ROAD,AIEA,HI,96701,POINT (-157.937675 21.383988)
194025,CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK STREET,PINEVILLE,LA,71361,POINT (-92.438506 31.325176)
391315,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,SAINT MARYS,PA,15857,POINT (-78.576794 41.426857)
360064,ST ELIZABETH YOUNGSTOWN HOSPITAL,1044 BELMONT AVENUE,YOUNGSTOWN,OH,44501,POINT (-80.65571 41.114321)
494010,NORTHERN VIRGINIA MENTAL HEALTH INSTI,3302 GALLOWS RD,FALLS CHURCH,VA,22042,POINT (-77.225633 38.857055)
170176,OVERLAND PARK REG MED CTR,10500 QUIVIRA ROAD,OVERLAND PARK,KS,66215,POINT (-94.723726 38.937613)
330106,NS/LIJ HS-NORTH SHORE UNIVERSITY HOSPITAL AT MANHASSET,300 COMMUNITY DRIVE,MANHASSET,NY,11030,POINT (-73.703029 40.779269)
50231,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,POMONA,CA,91767,POINT (-117.752329 34.077639)
100284,WESTCHESTER GENERAL HOSPITAL,2500 SW 75TH AVE,MIAMI,FL,33155,POINT (-80.317224 25.74804)
30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,POINT (-112.257936 33.479558)
364049,DUBLIN SPRINGS,7625 HOSPITAL DRIVE,DUBLIN,OH,43016,POINT (-83.169212 40.104146)
123300,KAPIOLANI MEDICAL CENTER FOR WOMEN & CHILDREN,1319 PUNAHOU STREET,HONOLULU,HI,96826,POINT (-157.834246 21.300396)
390204,NAZARETH HOSPITAL,2601 HOLME AVE,PHILADELPHIA,PA,19152,POINT (-75.043387 40.058529)
453313,EL PASO CHILDREN'S HOSPITAL,4845 ALAMEDA AVENUE,EL PASO,TX,79905,POINT (-106.4342 31.770655)
